"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor","Characteristics"
"C1","TAJB106K020SNJ","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","~","","","10%"
"C2","TAJB226K020RNJV","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","~","","","10%"
"C3","TAJB226K020RNJV","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","~","","","10%"
"D1","SD103BW","Diode_SMD:D_SOD-123","~","","",""
"J1","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~","","",""
"R1","150","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","1%"
"R2","3361P-1-202GLF","mibe:Potentiometer_Bourns_3361P_Vertical","~","","","10%"
"U1","LT1117-ADJ","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.analog.com/media/en/technical-documentation/data-sheets/1117fd.pdf","","",""
